Time,Temperature,Practical_Salinity,Turbidity,Chlorophyll,Pressure,Absolute_Air_Pressure,Air_Temperature,Absolute_Humidity,Wind_Direction,Wind_Speed
2024-04-01 00:00:00+00:00,7.756328611,31.54964926,15.01166111,0.193944444,66.13509444,1016.991838,9.866866859,9.125263783,158.0576377,1.561154292
2024-04-01 01:00:00+00:00,7.750448889,31.54867936,21.750625,0.211541667,66.19638611,1016.658334,9.226133033,9.047686075,118.6816897,1.185351499
2024-04-01 02:00:00+00:00,7.755531906,31.53102078,18.08460864,0.211594002,66.05003332,1016.64843,8.881009875,9.0828382,205.2890777,0.430179802
2024-04-01 03:00:00+00:00,7.759516111,31.54844703,7.084688889,0.196118056,65.7621,1016.984348,7.462697818,8.678763525,242.0025777,0.489502639
2024-04-01 04:00:00+00:00,7.741787778,31.5621067,6.819433334,0.202090278,65.42653056,1017.507351,6.455328803,8.298789192,300.0084503,0.732035223
2024-04-01 05:00:00+00:00,7.765518073,31.57931294,14.40251307,0.190155512,65.1372591,1017.579796,5.419078618,7.658975704,254.8415678,0.717773138
2024-04-01 06:00:00+00:00,7.761318611,31.6050249,13.36844447,0.188590278,65.00247222,1017.565444,3.839260985,7.091031394,277.2090543,0.676502439
2024-04-01 07:00:00+00:00,7.764061667,31.60801334,14.02546852,0.18336887,65.04604478,1017.430078,3.250774432,6.82748146,243.6554876,0.492665429
2024-04-01 08:00:00+00:00,7.763382222,31.58708496,29.89836481,0.202816661,65.40308558,1017.491298,3.221631789,6.734670317,206.0360925,0.442179008
2024-04-01 09:00:00+00:00,7.749559221,31.54910745,21.86875955,0.201340529,65.78376393,1017.523493,3.580789777,6.890637274,163.4277228,0.296203052
2024-04-01 10:00:00+00:00,7.749356318,31.54470262,9.386367053,0.202861349,65.78948133,1017.418997,3.852912775,6.910493412,252.6014598,0.578042984
2024-04-01 11:00:00+00:00,7.750343856,31.54363652,9.016742098,0.204382169,65.79519872,1017.051788,4.02353857,6.933679892,185.7847323,0.423227865
2024-04-01 12:00:00+00:00,7.751331394,31.54257042,8.647117142,0.205902989,65.80091612,1016.711309,3.779268635,6.972417117,230.0395598,0.388200326
2024-04-01 13:00:00+00:00,7.752318932,31.54150432,8.277492187,0.207423809,65.80663351,1016.80438,3.755544753,7.019389197,203.4345792,0.389882239
2024-04-01 14:00:00+00:00,7.75330647,31.54043822,7.907867231,0.20894463,65.81235091,1016.421639,3.884293068,7.071496993,210.3427614,0.480182407
2024-04-01 15:00:00+00:00,7.754294008,31.53937212,7.538242276,0.21046545,65.8180683,1016.21022,4.557228209,7.202354842,178.6934908,0.382004287
2024-04-01 16:00:00+00:00,7.755281547,31.53830603,7.16861732,0.21198627,65.8237857,1016.397374,5.347930187,7.435453156,201.9528418,0.786258558
2024-04-01 17:00:00+00:00,7.756269085,31.53723993,6.798992365,0.21350709,65.82950309,1016.716798,5.840625894,7.969097607,116.2255381,1.119478334
2024-04-01 18:00:00+00:00,7.757256623,31.53617383,6.429367409,0.21502791,65.83522049,1016.446307,5.898828457,8.02573364,148.3198227,0.900873573
2024-04-01 19:00:00+00:00,7.758244161,31.53510773,6.059742454,0.21654873,65.84093788,1016.13849,5.923602218,8.143588328,219.2853228,0.846747186
2024-04-01 20:00:00+00:00,7.759231699,31.53404163,5.690117498,0.21806955,65.84665528,1015.920394,6.04465072,8.194876237,151.7302614,0.643603413
2024-04-01 21:00:00+00:00,7.760219237,31.53297553,5.320492543,0.21959037,65.85237267,1015.303256,5.980688202,7.997324003,93.62595772,0.81614814
2024-04-01 22:00:00+00:00,7.761543665,31.53122028,5.355613038,0.22111119,65.85809007,1014.708329,5.79968027,8.061362982,113.9532246,0.431939006
2024-04-01 23:00:00+00:00,7.764215652,31.52670842,7.009715336,0.22263201,65.86380746,1013.814651,5.412703982,7.893709797,119.3901926,1.038034437
2024-04-02 00:00:00+00:00,7.766999936,31.52196685,8.798732784,0.224152831,65.86952486,1013.224096,4.903146397,7.67946872,176.621775,1.658841931
2024-04-02 01:00:00+00:00,7.769784219,31.51722528,10.58775023,0.225673651,65.87524225,1012.439756,5.026849338,7.814164185,158.4662982,1.116458465
2024-04-02 02:00:00+00:00,7.772568503,31.51248371,12.37676768,0.227194471,65.88095965,1011.85243,5.40987042,8.012957738,132.3796889,1.289239882
2024-04-02 03:00:00+00:00,7.775352787,31.50774214,14.16578513,0.228715291,65.88667704,1011.236001,6.174019372,8.4211671,105.7448416,0.804575264
2024-04-02 04:00:00+00:00,7.741630833,31.52049001,12.29386389,0.230236111,65.89239444,1010.845372,7.156976133,8.973238808,212.7618199,0.934576863
2024-04-02 05:00:00+00:00,7.741576236,31.56665275,11.79982053,0.189148848,65.66395446,1010.163736,8.317817229,9.460829483,181.1193343,2.505575823
2024-04-02 06:00:00+00:00,7.743193611,31.59035992,21.58248889,0.159583333,65.43025,1009.629186,8.555530033,9.383842967,163.8331498,2.33899652
2024-04-02 07:00:00+00:00,7.7732025,31.61134301,91.63849765,0.167666667,65.29115833,1009.212162,8.708765725,9.374230608,184.614536,3.212887161
2024-04-02 08:00:00+00:00,7.7894125,31.57968394,80.727925,0.177833333,65.31114722,1008.931993,8.54055725,9.590286842,197.4055361,2.441288149
2024-04-02 09:00:00+00:00,7.742004252,31.56313412,60.6895705,0.175444321,65.48733685,1008.986392,8.525213583,9.453578292,196.8724222,3.769460545
2024-04-02 10:00:00+00:00,7.7499975,31.50831639,28.20314722,0.211222222,65.81593611,1008.697227,8.365672883,9.250909117,176.510637,4.857870076
2024-04-02 11:00:00+00:00,7.760871944,31.56439779,21.53583333,0.190229167,66.22135278,1008.441593,8.014122255,8.807688234,175.936099,4.087857609
